from_address,reference-implementation
0x856ab9ce772f2b4cbb781312df89402459d72e44,ERC-1167
0x69803dbd642f2c1d10ff5502fb54ec2bb4334e2a,Customized
0x43e023f4a891f8e5e4198e760e86c254a93a840f,OpenZeppelin
0xc5b2f9ab661c485eeb35635d32a1746b6e09601b,Customized
0x3b6d3402c09ccd1239d64a3b08c2387abd0cbc79,ERC-897
0x45de9eb923503b64e42c5d3bbdf96bef5323a546,ERC-1167
0xd72fb6e4ebedc876078cfab63ad1722f11e1045e,ERC-1967
0xca48dc04097d1105e860ee322526af2f1b52d1f5,ERC-1167
0x2467b5673944151c881c2012657112527e1b8f81,Customized
0x7140bf128b9e2d3390af0d2ef5628ee4976b6586,ERC-1967
0x7e5097c2bbbb3e2c9cda49c91e3d8a78ba347bb8,ERC-1167
0x61b420004cc697382a1d6a8a183a686d04aac118,ERC-1167
0x53ef88b596318f3d3c0f5cbfbff5313f220f029c,ERC-897
0xb1cecd34930ca10c8ad1fb4d2ccc3b539e55c012,Customized
0xdc9f29859362cd68578c55b31d7c24576e4096cb,ERC-1167
0xf57f4a5d5a2be9f51e91cee9a994cfdfc969fb13,ERC-897
0x0a7f8161605acc552fa38fdb8ee7d8177c9ac22a,ERC-1967
0x0e66c74e28816445bceeb5efab9c18309d41bb6c,ERC-897
0x320cd70bb6399475926c64eba66c17b75d094038,ERC-1967
0x04d38ed3d9ae6f80858d3305b56e7a6f2d19fea2,ERC-897
0x5ef4c9384d9d7c39cbc12b62e82900042f1205b4,ERC-897
0xacca2b6c1c0480689e4786a3ebc63fb8599ce2ef,ERC-1167
0x1b56422d01e6a6d4f6d693c8dcde8c312fb43d64,ERC-897
0xf0b44dc5c9db0a9dbe155b9e923a487986426874,ERC-1167
0x4c3a5555f2231a444f6341614a8952dbdbd7c14e,ERC-897
0x76cbed9bfb95fedbbc07b49c3a2957a6263f222d,ERC-1967
0x4966c9fbefa9a2e676ffd5fd5c528b7b894b4d7c,ERC-1167
0x5cb2f04e6a63f38624cfca70955eaf5f215b8f4d,Customized
0x4f46d1eeddb24fdb1a79b5aa9b38146c5dd735a5,ERC-897
0x9aa0ab4734a213646f833068de9ad646d2f316db,ERC-1967
0x2eb901108d825dc43eb32ce6a113a3846e3cb9cd,Customized
0x159dc15b19b8b425e9ab6b5bef2f5515b7410815,ERC-1967
0x2e263f27d510c29f7185f87706bd352b79eb0e5f,ERC-1967
0x37b34a343073e708b36981851e53306319b8f8a0,Customized
0x83c0dee4d4a085fc7acb29a4a133606840218fc3,ERC-1167
0xb4444fa3c42472194c05acbbfc9ff06ce88b18a5,ERC-1967
0x6ac329dd04f181b0ee9c07d181c6f0816932b82e,ERC-1167
0x0417912b3a7af768051765040a55bb0925d4ddcf,ERC-1967
0x455c144f3670aa91ec037f62d37c2f960df7bb10,Customized
0xd8e49d892c52a4b2ee62983b7d767e83fdcb162f,Customized
0xb9d4024d27783a02802955b756eb1687a6f9f153,ERC-897
0xc2ac0fedcd14fc3d93170815069a851e25ae870c,ERC-897
0x523702a26f1cf3efbe2aebff4ff0259cd02fe117,ERC-897
0x5b1225f7f1985496578fadcc7e6d53b02508a529,ERC-1167
0x05f9ab1fdf98869e42bec80fba274c70a2924b2c,ERC-1167
0xdcd0cac5e26d34807f339d4b841e57091ce88596,ERC-1167
0x1dbd863be69bcfec9bbbaeecc79900a9ada316e2,ERC-1167
0x6e9ad475258080da966f54258c024e953b926a9d,ERC-1967
0xabadf8984591c2c6a9cf98a26c159c934bb26da6,ERC-897
0x7be99fb35a46727a18f4b51d21e13974d77b436e,ERC-1167
0x0e9d8e14293dd069690c1addbf51b61b4dca2f96,ERC-1967
0xe8db1afc095743746210b9af7baec391b0e97571,ERC-1967
0x9891ced883dbe703265aa67c9c0766897b813ee5,Gnosis Safe Proxy
0x53436ac36ec5bcfb9ae49f3a6cd21fab999e2b6e,ERC-1167
0x40c115816970a542cbba810b9af919c573d0b8ac,ERC-1167
0xea25c9ba435878cec8a5e1c5f573b85cc749be8e,ERC-1967
0x8a5f2b79c64ce273c31ced63f7c62613639726b6,Customized
0xba18db17b16e1c8517c1db8aecde86a49a560843,ERC-897
0x748a8c51f6c7b9a693091464d4c191d61dc00973,ERC-1167
0xda25696ddd5120ad1426cd58ff680b9520dad7fb,Customized
0x4804328d237985b59853b7a2c824994efed68035,ERC-897
0x49a3676fc63842c5061f508d8c0a5c8498b21022,ERC-1167
0x425c25dab0e24a7df5965e059b91f778d13968d6,ERC-1167
0xcc3551ccddb922dc842a6a093cd9908eeef7a947,Customized
0x9586381da8c5476aa26562a7e8ab8b48aea270b1,ERC-1167
0xa4b5bf07f9f0300b8190fb7bc6376e86582e3f3e,ERC-897
0x129a619aae318bf34b35b5171685bd659b3ef31d,ERC-1167
0x80672bc9a8364a558be99f35c5815450973c704d,ERC-897
0x1a7a399dd6d1601c038d51f1aeb867918c55df92,OpenZeppelin
0xe439473dfb7f47b7be4e46a2a49a1e7060afa9d7,ERC-1967
0x72c1fedbe47cd8245eb9a067ce0ab31256d92626,ERC-1967
0xc7103203b15a37d4db1929e32363ac5fe70b5e11,ERC-1967
0x9422c3c36423372e0519ca052f79b0021aa3d7c8,ERC-1167
0x73b611832dc7700c242732c65ec47318d4abee82,Customized
0x86e117bcd5deb54b79476f24cb474ba5cfd7559c,ERC-897
0x0fcaf96c6bd34736ecd24e646d7ca0581fae71b2,Customized
0xc43fcec50293c8ff9ff71668e08d182af4801ec1,Customized
0x9353ad2b96140ee2dde3ee1b82e9dd04796c765d,ERC-1967
0xc78533691eaa2f1573ff0fcb0cc5ee138dd4ce35,ERC-1967
0x263ab9b136582b9660cbefa918095ef9a20938e2,Customized
0xc4c2f2c32be6fef942ccd9aa5c121eedc027f347,ERC-897
0x38c086a7ea2bb827129d4f738e585e37e98f4716,ERC-1167
0x390e2837d44c93ce43076c4ab92afee198e43403,ERC-1967
0xc998e3027d26da77295a1a2ebe413201eedd5ea8,ERC-897
0xd34c27ab457cc56cc80f48009815cde700515b0e,ERC-897
0xd76d442382730e6a24a6d47f5a72bb6d2ea29c4f,ERC-897
0x04aa373434d1b9f2df4ec0580d85b5a9da439706,ERC-1967
0x7da95b265dde9b3af50228f3fefa055c081fd368,ERC-1167
0xdf5f6a24e6dcf0c97f43f296f21b31660b289c94,ERC-1967
0x122a0ec66d513f6123805b6d279142e85f9001d1,ERC-897
